archivo,año,categoria,num_columnas,columnas
articles-391590_recurso.xlsx,2016,administrativos,19,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Servicios | Profesional | Directivo | Total
articles-391591_recurso.xlsx,2015,administrativos,19,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id Sector IES | Sector IES | Id Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Servicios | Profesional | Directivo | Total
articles-391592_recurso.xlsx,2014,administrativos,19,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id Sector IES | Sector IES | Id Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Servicios | Profesional | Directivo | Total
articles-401903_recurso.xlsx,2019,administrativos,19,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o  Seccional | ID Sector IES | Sector IES | ID Caracter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Técnico | Profesional | Directivo | Total
articles-401904_recurso.xlsx,2019,docentes,26,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | ID Sexo | Sexo del Docente | ID Máximo nivel de formación del docente | Máximo nivel  de formación del docente | ID Tiempo de dedicación | Tiempo de dedicación del Docente | Tiempo de dedicación del Docente | Tiempo de dedicación del Docente
articles-401905_recurso.xlsx,2019,admitidos,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-401906_recurso.xlsx,2019,graduados,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-401907_recurso.xlsx,2019,inscritos,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-401908_recurso.xlsx,2019,matriculados,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-401909_recurso.xlsx,2019,primer_curso,38,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
